Student ID, Age, Gender, Location, Education Level, Enrollment Date, Number of Sessions Completed, Total Time Spent (hrs), Time Spent Per Session (mins), Interactions (Clicks, Movements), VR Environment(s) Used, Quiz Scores, Assessment Scores, Task Completion Rate, Tasks Attempted, Tasks Completed, Modules Completed, Milestones Achieved, Learning Speed (hrs/module), Errors Made, Attempts per Task, Group ID, Group Performance (Avg Score), Group Engagement Rate, Group Task Completion Rate, Student Feedback Rating, Instructor Feedback Rating, Review Comments, Progress Over Time
STU001, 21, Male, Nairobi, Undergraduate, 2023-01-15, 45, 60.5, 90, 250, Environment A, 85, 88, 0.85, 50, 45, 5, 3, 1.5, 10, 2, GRP01, 87, 0.8, 0.9, 4, 4, 'Great progress, needs more focus on task completion', 20
STU002, 23, Female, Mombasa, Secondary, 2023-02-22, 38, 55.2, 80, 220, Environment B, 90, 92, 0.9, 48, 43, 6, 4, 1.2, 8, 1, GRP01, 90, 0.85, 0.88, 5, 5, 'Excellent performance, engaging with tasks well', 18
STU003, 20, Male, Kisumu, Diploma, 2023-03-05, 40, 70.3, 105, 270, Environment C, 80, 75, 0.8, 47, 42, 4, 2, 1.8, 15, 3, GRP02, 83, 0.75, 0.8, 3, 3, 'Needs improvement in VR environment interactions', 22,
STU004, 24, Female, Nakuru, Undergraduate, 2023-01-30, 50, 65.2, 95, 245, Environment A, 75, 70, 0.87, 52, 48, 6, 5, 1.3, 12, 2, GRP02, 78, 0.78, 0.85, 4, 4, 'Good but could use more feedback on progress', 25,
STU005, 22, Non-binary, Eldoret, Post-graduate, 2023-02-10, 42, 72.8, 100, 230, Environment B, 85, 80, 0.88, 49, 44, 5, 3, 1.6, 9, 2, GRP03, 80, 0.7, 0.82, 3, 4, 'Excellent task completion but needs to work on engagement', 17,
STU006, 21, Female, Nyeri, Undergraduate, 2023-03-01, 39, 58.6, 95, 210, Environment C, 87, 85, 0.86, 50, 46, 4, 3, 1.4, 11, 3, GRP03, 85, 0.8, 0.86, 4, 4, 'Strong performance, more interaction with VR needed', 19
STU007, 23, Male, Kisii, Secondary, 2023-01-20, 41, 62.3, 90, 225, Environment A, 78, 82, 0.83, 48, 40, 6, 4, 1.7, 13, 3, GRP02, 81, 0.74, 0.79, 3, 4, 'Solid performance, could improve VR interactions', 21
STU008, 22, Female, Thika, Post-graduate, 2023-02-28, 44, 59.7, 85, 235, Environment B, 92, 94, 0.91, 51, 47, 5, 4, 1.1, 7, 2, GRP01, 88, 0.82, 0.87, 5, 5, 'Incredible engagement, continue with current pace', 23
STU009, 20, Male, Machakos, Diploma, 2023-03-10, 46, 68.4, 100, 265, Environment C, 76, 78, 0.81, 49, 44, 6, 3, 1.5, 14, 2, GRP03, 79, 0.77, 0.84, 4, 3, 'Needs more practice with the tasks', 24,
STU010, 25, Non-binary, Kakamega, Undergraduate, 2023-01-22, 48, 63.2, 92, 240, Environment A, 80, 82, 0.85, 50, 45, 5, 3, 1.4, 10, 3, GRP02, 84, 0.76, 0.83, 4, 4, 'Good overall but needs improvement on time management', 26,
STU011, 22, Male, Bungoma, Post-graduate, 2023-02-11, 39, 58.3, 85, 230, Environment B, 75, 78, 0.82, 47, 42, 4, 3, 1.6, 12, 2, GRP01, 80, 0.79, 0.85, 4, 4, 'Solid progress, needs to increase engagement', 20
STU012, 24, Female, Uasin Gishu, Secondary, 2023-03-03, 41, 64.1, 88, 235, Environment C, 92, 91, 0.89, 50, 45, 5, 4, 1.3, 9, 1, GRP03, 87, 0.8, 0.88, 5, 5, 'Good task completion rate, engaging with environment', 22
STU013, 19, Male, Meru, Undergraduate, 2023-01-19, 44, 66.9, 98, 240, Environment A, 80, 83, 0.83, 48, 43, 5, 3, 1.7, 11, 2, GRP02, 82, 0.77, 0.81, 4, 4, 'Needs improvement in completing tasks', 19,
STU014, 23, Non-binary, Kisumu, Diploma, 2023-03-07, 43, 70.5, 100, 250, Environment B, 88, 85, 0.86, 51, 47, 6, 4, 1.4, 10, 3, GRP02, 90, 0.83, 0.87, 5, 5, 'Strong performance, more consistent pace needed', 24
STU015, 21, Female, Nyeri, Post-graduate, 2023-02-19, 42, 62.8, 94, 220, Environment C, 80, 79, 0.84, 49, 45, 6, 5, 1.6, 14, 3, GRP01, 85, 0.76, 0.79, 4, 4, 'Needs improvement on task completion speed', 23,
STU016, 22, Male, Nairobi, Secondary, 2023-03-12, 40, 61.2, 95, 240, Environment A, 85, 87, 0.88, 48, 43, 5, 4, 1.5, 12, 2, GRP03, 86, 0.79, 0.82, 4, 4, 'Excellent task performance, could engage more', 22
STU017, 23, Female, Kakamega, Undergraduate, 2023-01-25, 39, 67.5, 97, 230, Environment B, 78, 74, 0.79, 46, 42, 6, 3, 1.8, 13, 3, GRP01, 80, 0.75, 0.78, 3, 4, 'Could improve VR interactions', 21,
